subreach_name,cos_cluster,js_cluster,wb_cluster
OH_LD_CAN_1,0,1,1
GR_LD_GR2_7,0,1,1
GR_LD_GR2_10,0,1,1
OH_LD_MCA_6,0,1,1
OH_LD_JTM_4,0,1,1
OH_LD_JTM_13,1,0,0
OH_LD_OLM_1,0,1,1
GR_LD_GR1_9,1,0,0
GR_LD_GR2_8,0,1,1
OH_LD_NBG_11,0,1,1
OH_LD_NBG_5,0,1,1
OH_LD_OLM_12,1,0,0
OH_LD_JTM_14,0,1,1
OH_LD_SMT_11,1,0,0
OH_LD_MKL_5,0,1,1
OH_LD_OLM_9,1,0,0
GR_LD_GR1_10,1,0,0
OH_LD_MCA_1,0,0,1
GR_LD_GR1_1,0,1,1
OH_LD_NBG_10,0,1,1
OH_LD_JTM_2,0,1,1
OH_LD_OLM_7,1,0,0
OH_LD_SMT_10,1,0,0
OH_LD_CAI_1,0,1,1
OH_LD_OLM_8,1,0,0
GR_LD_GR1_11,1,0,0
GR_LD_GR2_6,0,1,1
GR_LD_GR1_7,1,0,0
OH_LD_MCA_7,0,1,1
OH_LD_JTM_12,1,0,0
OH_LD_JTM_5,0,1,1
OH_LD_NBG_3,0,1,1
GR_LD_GR2_9,0,1,1
GR_LD_GR1_8,1,0,0
OH_LD_OLM_5,0,1,1
OH_LD_SMT_12,1,0,0
OH_LD_OLM_11,1,0,0
OH_LD_SMT_7,1,0,0
OH_LD_NBG_12,0,1,1
OH_LD_NBG_6,0,1,1
OH_LD_SMT_8,1,0,0
GR_LD_GR1_2,0,1,1
OH_LD_NBG_9,0,1,1
GR_LD_GR2_3,0,1,1
OH_LD_CAI_3,1,0,0
OH_LD_MCA_2,0,0,1
OH_LD_CAI_4,1,0,0
OH_LD_JTM_8,1,0,0
GR_LD_GR2_4,0,1,1
GR_LD_GR1_5,0,1,1
OH_LD_NBG_1,0,1,1
OH_LD_SMT_15,1,0,0
OH_LD_OLM_2,1,0,0
OH_LD_JTM_10,0,1,1
OH_LD_MKL_1,0,1,1
OH_LD_JTM_7,0,1,1
OH_LD_JTM_9,0,1,1
GR_LD_GR1_4,0,1,1
GR_LD_GR2_5,0,1,1
OH_LD_SMT_1,0,1,1
OH_LD_JTM_6,1,0,0
OH_LD_SMT_14,1,0,0
OH_LD_JTM_11,1,0,0
OH_LD_OLM_3,1,0,0
OH_LD_SMT_13,1,0,0
OH_LD_JTM_1,0,0,1
OH_LD_NBG_7,0,1,1
OH_LD_OLM_10,0,1,1
OH_LD_NBG_8,0,1,1
GR_LD_GR2_2,0,1,1
OH_LD_SMT_9,1,0,0
GR_LD_GR1_3,0,1,1
GR_LD_GR1_12,1,0,0
OH_LD_CAI_2,0,1,1
